knowledge,query
1904年12月20日，报刊“汽车”首次提到“人民之车”这一理念，30年后，德国工程师费迪南德·保时捷受命设计一款汽车，且售价不超过990马克，“人民之车”从理念变为现实，大众汽车的经典传奇也就此开始。,“人民的汽车”这一理念什么时候诞生？
大众汽车成立于1937年，见证了20世纪汽车工业的发展历程，并塑造了一个又一个汽车传奇。,大众汽车成立于哪一年？
1939年，二次世界大战爆发，大众的生产能力被用于军备生产，工人被迫劳动，1945年，美军部队到达，停止了工厂的军备生产，纳粹独裁统治的结束标志着大众汽车的新时代的开始。,大众汽车和第二次世界大战有什么关系？
1945年6月，英国军事当局从美国人手里接管了大众汽车集团的托管。1949年10月，英国军事当局将托管移交联邦德国政府。,介绍下第二次世界大战后的大众汽车集团
大众汽车的总部位于德国的沃尔夫斯堡，始建于1938年1月。,大众汽车的总部在哪里？
1947年伴随着第一辆甲壳虫出口国外，大众汽车开始走向国际化，1952年在加拿大成立第一家国外销售公司，1959年在巴西建立第一家国外工厂。,大众汽车什么时候开始走向国际化？
大众汽车1954年就实现了生产自动化，“科技，为每个人”的品牌核心价值从上个世纪中叶便开始体现在大众汽车的每一条产线上。,大众汽车什么时候实现生产自动化？
1961年，大众汽车在股票交易所上市，首次发行股票。,大众汽车什么时候上市？
1965年大众汽车收购“Auto-Union GmbH”，后成为奥迪品牌，这是大众汽车集团第一次收购其他品牌。,大众汽车集团什么时候第一次收购其他品牌？
1965年大众汽车收购“Auto-Union GmbH”，后成为奥迪品牌。,奥迪汽车什么时候被大众集团收购
1986年，大众汽车收购西亚特汽车51% 的股份,西亚特汽车什么时候被大众集团收购
1991年，大众汽车收购斯柯达汽车,斯柯达汽车什么时候被大众集团收购
1998年，大众汽车收购布加迪汽车,布加迪汽车什么时候被大众集团收购
1998年，大众汽车收购宾利汽车,宾利汽车什么时候被大众集团收购
1998年，大众汽车收购兰博基尼汽车,兰博基尼汽车什么时候被大众集团收购
2008年，商用车制造商斯堪尼亚加入大众汽车集团,斯堪尼亚汽车什么时候被大众集团收购
2009年，大众汽车收购保时捷汽车49.9%的股份，2012年完成了收购,保时捷汽车什么时候被大众集团收购
2011年，大众汽车集团完成对曼恩多数股权的收购,曼恩汽车什么时候被大众集团收购
2012年，大众汽车集团完成对杜卡迪汽车的收购,杜卡迪汽车什么时候被大众集团收购
1995年7月，大众集团推出“大众商用车”品牌,“大众商用车”品牌什么时候推出
大众集团下目前有13个品牌，分别是：大众、斯柯达、捷达、西亚特、奥迪、保时捷、兰博基尼、杜卡迪、布加迪、宾利、大众商用车、斯堪尼亚、MAN。,大众汽车集团旗下都有哪些品牌？
全球大约有120个大众汽车的生产基地，遍布欧洲、美洲、亚洲和非洲。,大众汽车在全球有多少个生产基地？
截至2022年统计数据，大众汽车在全球有超过60万名员工。,大众汽车在全球有多少名员工？
大众汽车集团（中国）约有10万名员工。,大众汽车集团（中国）有多少名员工？
2021年，大众汽车在原有企业社会责任的基础上制定了低碳未来、教育、经济赋能三大战略领域。未来，集团将更加坚定地履行企业公民责任，助力中国生态环境与社会的可持续发展。,大众汽车集团（中国）对可持续发展有何看法和计划？
1985年大众汽车开始进入中国市场，随后分别成立上海大众汽车有限公司和一汽大众汽车有限公司，2017年大众汽车（安徽）有限公司成立，专注于新能源汽车的研发和制造。,大众汽车哪一年进入中国市场？
大众汽车目前在合肥、上海、长春、南京、佛山、长沙和乌鲁木齐等地建有工厂，在40多家工厂进行车辆及零部件的生产。,大众汽车在中国有多少个生产基地？
大众汽车集团（中国）旗下拥有大众汽车乘用车、奥迪、斯柯达、捷达、保时捷、宾利、兰博基尼、曼恩、斯堪尼亚和杜卡迪等多个品牌，覆盖各细分市场。,大众汽车集团在中国有哪些品牌的车型在售
相较于上汽大众和一汽大众，大众汽车（安徽）的公司所在地不同，股权结构不同，生产车型也不同。,大众汽车（安徽）和上汽大众、一汽大众有什么区别？
大众汽车（安徽）有限公司的前身是江淮大众汽车有限公司，成立于2017年12月22日，是集团在中国第一家专注于新能源汽车的合资企业。,大众安徽是什么时候成立的？
大众汽车（安徽）有限公司的前身是江淮大众汽车有限公司，2017年5月22日，江淮大众项目通过发改委批准。,大众安徽项目是什么时候获得发改委批准的？
大众汽车（安徽）有限公司的前身是江淮大众汽车有限公司，2017年12月21日，江淮大众项目收到商务部的《中华人民共和国外商投资企业批准证书》，获得商务部批准。,大众安徽项目是什么时候获得商务部批准的？
大众安徽位于安徽省合肥市经济技术开发区珠江路3456号,大众安徽在哪里？
2020年12月2日，在增资事项完成工商登记变更后，江淮大众汽车有限公司正式更名为“大众汽车（安徽）有限公司”。,江淮大众什么时候更名为大众安徽
1985年4月大众汽车在中国建立了首个合资企业上海大众，后更名为上汽大众,上汽大众是什么时候成立的？
